,longitude,latitude,postvz_sg,street,speed_limit
136,-73.97805370691299,40.737562215623825,1,1 AVENUE,25
137,-73.97760414301672,40.73818005796335,1,1 AVENUE,25
138,-73.9771490887594,40.738803723413184,1,1 AVENUE,25
139,-73.97670149887506,40.73941799544417,1,1 AVENUE,25
140,-73.97625270839575,40.740031590285696,1,1 AVENUE,25
141,-73.97614714417534,40.740178538608745,1,1 AVENUE,25
142,-73.97579967491504,40.74065287972667,1,1 AVENUE,25
143,-73.97534407476917,40.74128294295349,1,1 AVENUE,25
144,-73.97490136910284,40.741889969146825,1,1 AVENUE,25
145,-73.97486976602681,40.74193333085856,1,1 AVENUE,25
146,-73.97486927859427,40.741933970276534,1,1 AVENUE,25
147,-73.97486918866207,40.74193409258436,1,1 AVENUE,25
148,-73.97417528795916,40.74289854083503,1,1 AVENUE,25
149,-73.97401198816266,40.7431067707609,1,1 AVENUE,25
150,-73.97350978964505,40.743790297784074,1,1 AVENUE,25
151,-73.97302814423341,40.74445830520665,1,1 AVENUE,25
152,-73.9725774229097,40.74507611786862,1,1 AVENUE,25
153,-73.97212618177781,40.745689602093535,1,1 AVENUE,25
154,-73.97208868184714,40.74574499493565,1,1 AVENUE,25
155,-73.97196263916442,40.74591116356942,1,1 AVENUE,25
156,-73.97184883085885,40.746065723754214,1,1 AVENUE,25
157,-73.97174954660426,40.74619440324915,1,1 AVENUE,25
158,-73.9716588463786,40.746311958130434,1,1 AVENUE,25
159,-73.97122950104063,40.746927435252985,1,1 AVENUE,25
160,-73.97078175737215,40.74755173562414,1,1 AVENUE,25
161,-73.97036704400386,40.74810277632213,1,1 AVENUE,25
162,-73.9695460457134,40.74921331044595,1,1 AVENUE,25
163,-73.96932175389577,40.74952523939834,1,1 AVENUE,25
164,-73.96891100114175,40.75011841063622,1,1 AVENUE,25
165,-73.96890941114037,40.75012070930336,1,1 AVENUE,25
166,-73.96887784133929,40.75016343609377,1,1 AVENUE,25
167,-73.9684282513627,40.75077193357794,1,1 AVENUE,25
168,-73.96797525475415,40.75137399101692,1,1 AVENUE,25
169,-73.96777849478167,40.751634235931306,1,1 AVENUE,25
170,-73.96661725508221,40.75325169001354,1,1 AVENUE,25
171,-73.96653817229878,40.753358522278006,1,1 AVENUE,25
172,-73.9661582725862,40.75388611675095,1,1 AVENUE,25
173,-73.9656976371362,40.75451333632145,1,1 AVENUE,25
174,-73.96524238233002,40.75513819517164,1,1 AVENUE,25
175,-73.96478777143847,40.75576399830993,1,1 AVENUE,25
176,-73.96432687338648,40.75638979785094,1,1 AVENUE,25
177,-73.96387231465553,40.757016343829264,1,1 AVENUE,25
