date,maximum temerature,minimum temperature,average temperature,precipitation,snow fall,snow depth
2016-07-18,93,72,82.5,0.35,0,0
2016-07-19,83,73,78,0,0,0
2016-07-20,85,68,76.5,0,0,0
2016-07-21,90,71,80.5,0,0,0
2016-07-22,94,74,84,0,0,0
2016-07-23,96,80,88,0,0,0
2016-07-24,94,75,84.5,0,0,0
2016-07-25,93,73,83,1,0,0
2016-07-26,89,72,80.5,0,0,0
2016-07-27,91,74,82.5,0,0,0
2016-07-28,95,75,85,T,0,0
2016-07-29,85,69,77,1.09,0,0
2016-07-30,84,73,78.5,0.25,0,0
2016-07-31,78,71,74.5,1.08,0,0
2016-08-01,80,69,74.5,T,0,0
2016-08-02,79,68,73.5,0,0,0
2016-08-03,80,66,73,0,0,0
2016-08-04,81,67,74,0,0,0
2016-08-05,83,69,76,0,0,0
2016-08-06,87,72,79.5,0.05,0,0
2016-08-07,86,70,78,0,0,0
2016-08-08,86,71,78.5,0,0,0
2016-08-09,87,71,79,0,0,0
2016-08-10,86,75,80.5,0.09,0,0
2016-08-11,91,74,82.5,0.15,0,0
2016-08-12,93,73,83,0.32,0,0
2016-08-13,96,81,88.5,0,0,0
2016-08-14,94,78,86,0.06,0,0
2016-08-15,92,77,84.5,0,0,0
2016-08-16,87,78,82.5,0.11,0,0
2016-08-17,85,77,81,0.01,0,0
2016-08-18,85,72,78.5,0.03,0,0
2016-08-19,88,74,81,0.01,0,0
2016-08-20,83,70,76.5,0.82,0,0
2016-08-21,86,73,79.5,0.31,0,0
2016-08-22,79,65,72,0,0,0
2016-08-23,82,61,71.5,0,0,0
2016-08-24,88,68,78,0,0,0
2016-08-25,86,69,77.5,0.01,0,0
2016-08-26,90,75,82.5,0,0,0
2016-08-27,89,73,81,0,0,0
2016-08-28,89,72,80.5,0,0,0
2016-08-29,91,74,82.5,0,0,0
2016-08-30,86,69,77.5,0,0,0
2016-08-31,89,74,81.5,T,0,0
2016-09-01,79,69,74,0.5,0,0
2016-09-02,81,66,73.5,0,0,0
2016-09-03,75,66,70.5,0,0,0
2016-09-04,80,65,72.5,0,0,0
2016-09-05,84,65,74.5,0,0,0
2016-09-06,80,71,75.5,T,0,0
2016-09-07,85,71,78,0,0,0
2016-09-08,89,71,80,0,0,0
2016-09-09,91,75,83,0.22,0,0
2016-09-10,90,74,82,T,0,0
2016-09-11,83,67,75,0,0,0
2016-09-12,78,62,70,0,0,0
2016-09-13,83,64,73.5,0,0,0
2016-09-14,91,67,79,0.56,0,0
2016-09-15,74,61,67.5,0,0,0
2016-09-16,73,61,67,0,0,0
2016-09-17,77,59,68,0,0,0
2016-09-18,82,70,76,0,0,0
2016-09-19,76,69,72.5,0.68,0,0
2016-09-20,82,68,75,0,0,0
2016-09-21,84,68,76,0,0,0
2016-09-22,86,65,75.5,0,0,0
2016-09-23,87,64,75.5,0.01,0,0
2016-09-24,71,58,64.5,0.2,0,0
2016-09-25,70,54,62,0,0,0
2016-09-26,74,54,64,0,0,0
2016-09-27,74,64,69,0.22,0,0
2016-09-28,69,56,62.5,0,0,0
2016-09-29,64,57,60.5,0,0,0
2016-09-30,59,56,57.5,0.4,0,0
2016-10-01,62,56,59,0,0,0
2016-10-02,63,57,60,0,0,0
2016-10-03,72,60,66,0,0,0
2016-10-04,69,60,64.5,0,0,0
2016-10-05,67,53,60,0,0,0
2016-10-06,73,55,64,0,0,0
2016-10-07,75,57,66,0,0,0
2016-10-08,68,58,63,0.23,0,0
2016-10-09,65,51,58,0.55,0,0
2016-10-10,64,47,55.5,0,0,0
2016-10-11,63,46,54.5,0,0,0
2016-10-12,66,53,59.5,0,0,0
2016-10-13,67,53,60,T,0,0
2016-10-14,62,47,54.5,0,0,0
2016-10-15,65,45,55,0,0,0
2016-10-16,69,53,61,0,0,0
2016-10-17,81,63,72,0,0,0
2016-10-18,81,67,74,0,0,0
2016-10-19,85,65,75,0,0,0
2016-10-20,70,62,66,0,0,0
2016-10-21,69,57,63,1.11,0,0
2016-10-22,57,47,52,0.29,0,0
2016-10-23,61,45,53,0,0,0
2016-10-24,62,47,54.5,T,0,0
2016-10-25,52,43,47.5,0,0,0
2016-10-26,51,38,44.5,0,0,0
2016-10-27,55,40,47.5,1.41,0,0
2016-10-28,51,42,46.5,0,0,0
2016-10-29,64,39,51.5,0,0,0
2016-10-30,76,54,65,0.56,0,0
2016-10-31,54,44,49,0,0,0
2016-11-01,58,40,49,0,0,0
2016-11-02,70,54,62,0,0,0
2016-11-03,72,57,64.5,0,0,0
2016-11-04,61,47,54,0,0,0
2016-11-05,62,44,53,0,0,0
2016-11-06,59,45,52,0,0,0
2016-11-07,53,41,47,0,0,0
2016-11-08,66,41,53.5,0,0,0
2016-11-09,59,49,54,0.06,0,0
2016-11-10,56,40,48,0,0,0
2016-11-11,63,41,52,0,0,0
2016-11-12,50,37,43.5,0,0,0
2016-11-13,61,41,51,0,0,0
2016-11-14,62,46,54,0,0,0
2016-11-15,56,47,51.5,1.81,0,0
2016-11-16,61,45,53,0,0,0
2016-11-17,61,49,55,0,0,0
2016-11-18,64,44,54,0,0,0
2016-11-19,63,37,50,0.25,0,0
2016-11-20,42,34,38,0.31,T,0
2016-11-21,41,36,38.5,0,0,0
2016-11-22,41,37,39,0,0,0
2016-11-23,45,35,40,0,0,0
2016-11-24,48,38,43,0.03,0,0
2016-11-25,54,45,49.5,0.02,0,0
2016-11-26,50,40,45,0,0,0
2016-11-27,50,39,44.5,0,0,0
2016-11-28,52,38,45,0,0,0
2016-11-29,60,51,55.5,2.2,0,0
2016-11-30,58,50,54,0.73,0,0
2016-12-01,54,42,48,0.07,0,0
2016-12-02,51,40,45.5,0,0,0
2016-12-03,47,41,44,T,0,0
2016-12-04,47,39,43,0,0,0
2016-12-05,49,38,43.5,0.19,0,0
2016-12-06,46,37,41.5,0.35,0,0
2016-12-07,46,40,43,0.09,0,0
2016-12-08,45,35,40,0,0,0
2016-12-09,39,29,34,0,0,0
2016-12-10,35,28,31.5,0,0,0
2016-12-11,35,28,31.5,0.03,0.4,0
2016-12-12,46,34,40,0.5,0,0
2016-12-13,43,35,39,0,0,0
2016-12-14,42,34,38,0,0,0
2016-12-15,34,19,26.5,0,T,0
2016-12-16,27,17,22,0,0,0
2016-12-17,39,24,31.5,0.73,2.8,2
2016-12-18,58,31,44.5,0.04,0,1
2016-12-19,31,23,27,0,0,0
2016-12-20,33,20,26.5,0,0,0
2016-12-21,40,30,35,0,0,0
2016-12-22,49,37,43,0,0,0
2016-12-23,47,38,42.5,0,0,0
2016-12-24,47,38,42.5,0.47,0,0
2016-12-25,50,36,43,0,0,0
2016-12-26,50,33,41.5,0.02,0,0
2016-12-27,60,40,50,0,0,0
2016-12-28,40,34,37,0,0,0
2016-12-29,46,33,39.5,0.39,0,0
2016-12-30,40,33,36.5,0.01,T,0
2016-12-31,44,31,37.5,0,0,0
